Location,Price,No. of rooms,No. of bathrooms,Area,Adress,Colony,Type
Prolongación Jesus ,25000,2,2,124,Americana,Guadalajara,Department
AV. GUADALAJARA S/N,27500,2,2,106,Jardines del Valle,Zapopan,Department
ACUEDUCTO 360,12700,2,2,64,Jardines del Valle,Zapopan,Department
Avenida Obelisco 10,30000,1,1,115,Puerta de Hierro,Zapopan,Department
Atlitlalaquian 1804,32000,2,2,110,Fraccionamiento Colomos Providencia,Guadalajara,Department
Av. Naciones Unidas 5546,25000,2,1,110,Jacarandas,Zapopan,Department
Duque de Rivas,7000,2,2,90,Ciudad AztlAn,Tonalá,Department
Av. Patria 240 ,23000,2,2,74,Vallarta Universidad,Zapopan,Department
Avenida Naciones Unidas #4839 - 2,24500,2,2,82,Arcos Vallarta,Guadalajara,Department
C. Anastasio Bustamante 1400,26900,2,2,95,Jardines de La Patria,Zapopan,Department
Av. Cristobal Colon 4853,19000,1,1,60,Jardines Universidad,Zapopan,Department
Eutimio pinzon 677,14500,2,2,77,Francisco Sarabia,Zapopan,Department
rinconada del arroyo 1501 1 1,26000,2,2,180,Valle Real,Zapopan,Department
PUENTE EL PALOMAR 400,16000,2,1,56,Arcos Vallarta,Guadalajara,Department
,13500,2,2,64,Nueva España,Guadalajara,Department
,13000,3,2,85,Lomas Independencia,Guadalajara,Department
,15500,2,2,90,Fraccionamiento Valle Imperial,Zapopan,Department
,14000,2,2,98,El Palomar,Tlajomulco de Zúñiga,Department
Calle Juan Ruiz de Alarcón 229,19000,1,1,70,Americana,Guadalajara,Department
Mar mediterreaneo 1103,33000,3,3,180,Country Club,Guadalajara,Department
Pléyades  3840 9,15500,2,2,114,La Calma,Zapopan,Department
montevideo 2704,35000,3,2,160,Providencia,Guadalajara,Department
"Diagonal San Jorge Torre 200, departamento C-25, Entre Av. México y calle Justo Sierra",85000,3,3,332,Fraccionamiento Vallarta San Jorge,Guadalajara,Department
GONZAGA #4386,14500,3,2,75,Ciudad de los niños,Zapopan,Department
Av. Central Guillermo Gonzalez Camarena #500,22500,2,2,69,Valle Real,Zapopan,Department
Av. Naciones Unidas 7879,24500,2,2,120,Fraccionamiento Jardines del Bosque Centro,Guadalajara,Department
"Gabriela Mistral 1092, Alcalde Barranquitas, 44270 Guadalajara, Jal.",19000,2,2,66,Virreyes Residencial,Zapopan,Department
Calderon de la Barca 26,35000,3,3,200,Alcalde Barranquitas,Guadalajara,Department
Josefa Ortiz de Dominguez 180,17000,1,1,70,Americana,Guadalajara,Department
Paseo Valle Real 900,8500,1,1,60,Las Amapas,Tlajomulco de Zúñiga,Department
Av. Central Guillermo González Camarena #500,9000,2,3,55,Santa Ana Tepetitlán,Zapopan,Department
Anillo Perif. Nte. Manuel Gómez Morín 1066,42000,2,2,443,Valle Real,Zapopan,Department
Juan Ruiz de Alarcon 229,21000,2,2,95,Valle Real,Zapopan,Department
calle 8 numero 2256,20000,2,2,110,La Rioja,Tlajomulco de Zúñiga,Department
,22000,2,1,70,Valle Real,Zapopan,Department
,23500,1,,107,Fraccionamiento Puerta del Valle,Zapopan,Department
,17500,2,,80,Americana,Guadalajara,Department
,13000,,,100,Seattle,Zapopan,Department
Calle Mar Ross No 1478 colonia country club   ,30000,1,1,101,Country Club,Guadalajara,Department
efrain gonzalez luna 2579,33000,3,3,230,Agustín YAnez,Guadalajara,Department
"Calle Colomos 2770, Providencia 4a Secc. ",25000,3,2,230,Providencia 4a Secc,Guadalajara,Department
Andres Teran 1165,24400,2,4,92,Fraccionamiento Chapultepec Country,Guadalajara,Department
Av. Acueducto 5500,65000,3,4,362,Lomas Del Bosque,Zapopan,Department
POPOCATEPTL 3256,25500,3,2,160,Ciudad Del Sol,Zapopan,Department
av chapultepec norte 78,29500,2,2,134,Country Club,Guadalajara,Department
Avenida Servidor Publico 1425,30000,3,1,250,Fraccionamiento Ladrón de Guevara,Guadalajara,Department
MANUEL M DIEGUEZ 900,23000,1,2,98,Valle Real,Zapopan,Department
NIÑOS HEROES 2050 ESQUINA CON MARSELLA,20000,2,4,90,Ladrón de Guevara,Guadalajara,Department
Gregorio Davila,44000,3,2,390,Fraccionamiento Vallarta Norte,Guadalajara,Department
Av Miguel Hidalgo y Costilla ,27000,2,2,80,Fraccionamiento Jardines del Country,Guadalajara,Department
Valerio Trujano 240,19500,2,2,85,Americana,Guadalajara,Department
Cosmocrat Puerta de Hierro,12500,2,2,53,Mezquitan Country,Guadalajara,Department
Prolongación Jesus  3870,26500,3,2,108,Fraccionamiento Rinconada Del Parque,Zapopan,Department
,26000,2,1,104,Americana,Guadalajara,Department
,6500,2,2,59,Mirador ,Tonalá,Department
,23000,3,2,114,Prados de Providencia,Guadalajara,Department
,45000,3,2,129,Puerta de Hierro,Zapopan,Department
,20000,2,,90,Fraccionamiento Jardín Real,Zapopan,Department
Paseo de La luna,42000,2,2,210,Lomas Altas,Zapopan,Department
C. Ottawa 1560,42000,2,2,113,Providencia,Guadalajara,Department
"C. Josefa Ortiz de Domínguez 2512, Santa Ana Tepetitlán, 45230 Zapopan, Jal.",9000,2,1,60,Santa Ana Tepetitlán,Zapopan,Department
Duque de Rivas 2128,25500,3,3,132,Arcos Vallarta,Guadalajara,Department
"Vallarta 2769, Arcos Vallarta, 44130, Guadalajara, México",25000,2,2,98,Arcos Vallarta,Guadalajara,Department
SEBASTIAN BACH 5522 COLONIA LA ESTANCIA ,12000,2,1,74,La Estancia,Zapopan,Department
Mar mediterráneo 1103,26000,2,2,105,Country Club,Guadalajara,Department
Compostela 2065,23500,2,2,98,Fraccionamiento Chapultepec Country,Guadalajara,Department
morelos 1777,20000,1,1,70,Americana,Guadalajara,Department
"ANILLO PERIFERICO NORTE MANUEL GOMEZ MORIN 800, PUERTA DEL VALLE ZAPOPAN JAL.",38000,2,2,110,Jardines Universidad,Zapopan,Department
SAN VICENTE 1121,23500,2,2,110,Fraccionamiento Puerta del Valle,Zapopan,Department
Brasilia 2790 ,19000,1,2,61,Fraccionamiento Puerta del Valle,Zapopan,Department
Talavera pte 3538,8000,2,1,130,Fraccionamiento La Providencia,Tonalá,Department
Avenida México 5000,17000,2,2,64,Villas Del Country,Guadalajara,Department
Vereda de la Alondra 8,21000,1,2,72,Providencia,Guadalajara,Department
"Cto, De los Himalaya 1351, Las Cumbres",12900,2,2,69,Fraccionamiento Real de Valdepeñas,Zapopan,Department
Severo diaz 136,22000,2,2,105,Juan Manuel Vallarta,Zapopan,Department
,129000,3,4,435,Puerta de Hierro,Zapopan,Department
,65000,3,4,428,Virreyes Residencial,Zapopan,Department
,25000,2,2,190,Fraccionamiento Ladrón de Guevara,Guadalajara,Department
Josefa Ortiz de Dominguez 180,9000,2,2,55,Santa Ana Tepetitlán,Zapopan,Department
Av. Central Guillermo González Camarena #500,18000,2,2,122,Fraccionamiento Camino Real,Zapopan,Department
A Las Cimas 327A,22000,2,1,70,Valle Real,Zapopan,Department
"Juan Palomar y Arias 765, Prados Providencia, Prados de Providencia, Guadalajara",8200,1,3,25,Fraccionamiento Prados Vallarta,Zapopan,Department
OSCAR WILDE 6108 B,40000,3,1,169,Providencia,Guadalajara,Department
"Av Paseo de la Arboleda 731 Jardines del Bosque,",9000,2,2,70,Fraccionamiento Lomas Universidad,Zapopan,Department
Justo Sierra 2040,23500,2,2,144,Jardines del Bosque Norte,Guadalajara,Department
Av General Ramon corona 2243,24000,2,2,120,Ladrón de Guevara,Guadalajara,Department
MANUEL ACUÑA 3409,21000,2,2,100,Valle Real,Zapopan,Department
José María Vigil,18500,2,1,128,Fraccionamiento Monraz,Guadalajara,Department
Av. Acueducto 5500,27820,1,4,118,Prados de Providencia,Guadalajara,Department
Torre Livorno,65000,3,2,362,Lomas Del Bosque,Zapopan,Department
Av Patria ,33080,2,3,135,Lomas Altas,Zapopan,Department
Santa Monica 170,28500,3,2,156,Jardines de La Patria,Zapopan,Department
josefa ortiz de cominguez,13500,3,2,110,Guadalajara Centro,Guadalajara,Department
San Bonifacio 466 int 13 ,8600,2,2,55,Santa Ana Tepetitlán,Zapopan,Department
cto de los Himalayas 1351,15000,1,2,70,Jardines de Guadalupe,Guadalajara,Department
,21500,2,4,76,Jardines de los Arcos,Guadalajara,Department
,65000,3,,428,Virreyes Residencial,Zapopan,Department
,29000,2,,115,Providencia,Guadalajara,Department
manuel m. dieguez 900,23000,2,2,108,Ayuntamiento,Guadalajara,Department
Av. Las Américas ,17200,1,1,40,Ayuntamiento,Guadalajara,Department
San Juan de la Cruz,13500,2,1,80,Fraccionamiento Camino Real,Zapopan,Department
Francisco Martin del Campo 511,7850,1,2,90,Arboledas ,Zapopan,Department
Avenida naciones Unidas ,22000,3,2,110,Fraccionamiento Jardines Alcalde,Guadalajara,Department
Av. Adolfo López Mateos Sur 4255,19800,1,2,71,Vallarta Universidad,Zapopan,Department
Avenida Montevideo 3550,26000,3,2,124,Loma Bonita,Zapopan,Department
Calzada Lázaro Cárdenas 3333,32000,1,5,200,Lomas del Valle,Zapopan,Department
Torre Esenika 1 1,24500,2,2,97,Chapalita Oriente,Zapopan,Department
Avenida paseo la toscana 122,21000,4,2,85,Santa Anita,Tlajomulco de Zúñiga,Department
AVE CENTRAL GUILLERMO GONZALEZ CAMARENA 500,90000,2,1,334,Valle Real,Zapopan,Department
JUAN RUIZ DE ALARCON 221,48000,2,2,230,Valle Real,Zapopan,Department
MAR EGEO 1442,35000,1,3,154,Americana,Guadalajara,Department
calle puente el Palomar 400,35000,2,2,180,Country Club,Guadalajara,Department
"Blvrd Puerta de Hierro 5065, 45116 Zapopan, Jal.",13500,3,1,76,Ciudad Bugambilia,Zapopan,Department
Avenida Juan Palomar y Arias 765,75000,2,1,200,Puerta de Hierro,Zapopan,Department
Lateral anillo periférico 800,29500,1,2,140,Prados de Providencia,Guadalajara,Department
Paseo Lomas Altas,17000,2,,60,Valle Real,Zapopan,Department
,16700,2,,68,Fraccionamiento Arcos,Guadalajara,Department
,26000,,,145,Lomas Altas,Zapopan,Department
Avenida paseo la Toscana 1222 Cima Park Valle Real ,80000,4,4,333,Valle Real,Zapopan,Department
"Av. Juan Palomar y Arias 765, Prados",58500,3,3,300,Providencia,Guadalajara,Department
Jorge Alvarez del Castillo 1018,16890,1,1,37,Ayuntamiento,Guadalajara,Department
chimalpopoca 4795,14000,2,1,70,Jardines Del Sol,Zapopan,Department
"Av. de la Libertad 908, Col. Tepeyac Casino, Zapopan Jal. ",18500,3,3,100,Tepeyac Casino,Zapopan,Department
AV. GUADALUPE 5057,21200,2,2,90,Fraccionamiento Chapalita de Occidente,Zapopan,Department
Paseo Lomas Altas  4820 703,26000,2,2,96,La Patria Universidad,Zapopan,Department
Valparaiso 2367,23000,1,1,65,Providencia,Guadalajara,Department
Av. Naciones Unidas 7879,21500,2,2,90,Virreyes Residencial,Zapopan,Department
"AV, XOCHITL 310 6",14500,2,1,92,Prados Tepeyac,Zapopan,Department
Prolongación Jesus ,27500,2,2,106,Jardines del Valle,Zapopan,Department
Salvador López Chávez 1750,13000,3,2,85,San Carlos,Guadalajara,Department
Pedro Ogazón  620  U.P. 13,29000,3,3,182,Santa Fe,Zapopan,Department
Av. Aviacion,17000,1,1,61,San Juan de Ocotan,Zapopan,Department
manuel m. dieguez 900,36000,3,4,270,Ciudad Bugambilia,Zapopan,Department
AV. MANUEL ACUÑA 3177 COL. MONRAZ,21500,2,2,90,Jardines del Bosque,Guadalajara,Department
Pedro Moreno 1140,23000,2,2,108,Ayuntamiento,Guadalajara,Department
,45000,3,3,300,Fraccionamiento Monraz,Guadalajara,Department
,19900,2,2,70,Country Club,Guadalajara,Department
,17800,1,1,85,Americana,Guadalajara,Department
san juan de letran 4353,22000,2,2,85,Lomas Del Seminario,Zapopan,Department
PROLONGACION JESUS 3841,25000,2,2,90,Jardines del Valle,Zapopan,Department
Paseo Lomas Altas 4777 903 Torre A,26500,2,2,90,Lomas Altas,Zapopan,Department
SAN VICENTE 1121,8000,2,1,130,Fraccionamiento La Providencia,Tonalá,Department
MORELOS 2080,18000,1,1,53,Arcos Vallarta,Guadalajara,Department
" São Paulo 1912, Providencia, 44630 Guadalajara, Jal.",23000,1,2,76,Providencia,Guadalajara,Department
Montemorelos 3400,16500,2,2,83,Rinconada de La Calma,Zapopan,Department
Arquitectos Norte 855,4930,1,1,25,Jardines Tepeyac,Zapopan,Department
Cosmocrat Puerta de Hierro,45000,3,2,129,Puerta de Hierro,Zapopan,Department
Av. Ignacio L Vallarta 300,26000,2,2,117,Vallarta Poniente,Guadalajara,Department
brasilia 2790,21000,1,2,72,Fraccionamiento Colomos Providencia,Guadalajara,Department
Duque de Rivas,24500,2,2,82,Arcos Vallarta,Guadalajara,Department
san agustin 1289 interior 4,18000,2,1,85,Fraccionamiento Jardines de San Ignacio,Zapopan,Department
Av. Niños Héroes 2571,23000,2,2,109,Fraccionamiento Jardines Del Bosque,Guadalajara,Department
"Josefa Ortiz de Domínguez 2512, Santa Ana Tepetitlán, Zapopan, Jalisco",8400,2,2,53,Santa Ana Tepetitlán,Zapopan,Department
Av. José María Vigil,34000,1,2,60,Providencia,Guadalajara,Department
Lateral anillo periférico 800,17000,3,1,169,Valle Real,Zapopan,Department
Juan palomar y Arias  765 B-805,39500,1,4,60,Prados de Providencia,Guadalajara,Department
Avenida Naciones Unidas #4839 - 2,19000,2,1,87,Jardines Universidad,Zapopan,Department
,23360,,1,,Arcos Vallarta,Guadalajara,Department
C.OTTAWA 1360,29000,2,2,125,Circunvalación Américas,Guadalajara,Department
Av. Aviación 3100 ,14900,1,1,48,Fraccionamiento Solares,Zapopan,Department
"PLAN DE SAN LUIS 2058, Mezquitan Country, Guadalajara No. Ext 2058 Lomas del Country",23500,2,2,72,Mezquitan Country,Guadalajara,Department
Av. Circunvalación Alvarez del Castillo 1018,26200,1,1,48,Ayuntamiento,Guadalajara,Department
Jose Maria Vigil 2534,30000,2,2,126,Fraccionamiento Colomos Providencia,Guadalajara,Department
Av. Hidalgo 1830,20000,2,3,140,Fraccionamiento Ladrón de Guevara,Guadalajara,Department
Av. Aviacion,21600,2,2,70,San Juan de Ocotan,Zapopan,Department
VITTA ,13500,1,2,75,Nuevo México,Zapopan,Department
Avenida Periférico Poniente Manuel Gómez Morin 800,33000,3,3,120,Fraccionamiento Puerta del Valle,Zapopan,Department
Eutimio Pinzón al 900,13990,2,2,74,Lomas Independencia,Guadalajara,Department
Av. Naciones Unidas 7879,19000,1,2,76,Virreyes Residencial,Zapopan,Department
Av. Paseo Cima Real 461,36000,2,3,110,Jardines Universidad,Zapopan,Department
Calle Salvador López Chávez 1750,45000,2,2,328,Valle Real,Zapopan,Department
Atlitlalaquian 1804,15000,2,2,81,San Carlos,Guadalajara,Department
Calz. Federalismo 75,7000,2,1,90,Ciudad AztlAn,Tonalá,Department
Torre vista vento,16800,3,3,62,Guadalajara Centro,Guadalajara,Department
Calle Juan Ruiz de Alarcón 229,64900,1,1,428,Virreyes Residencial,Zapopan,Department
"Juan Palomar y Arias 765, Prados Providencia",19000,3,3,70,Americana,Guadalajara,Department
,47000,2,2,170,Prados de Providencia,Guadalajara,Department
,18900,,,160,Las Cañadas,Zapopan,Department
rinconada del arroyo 1501 1 1,15500,2,2,90,Fraccionamiento Valle Imperial,Zapopan,Department
diagonal san jorge 93,34000,2,2,140,Vallarta Sur,Guadalajara,Department
"Gabriela Mistral 1092, Alcalde Barranquitas, 44270 Guadalajara, Jal.",35000,3,3,200,Alcalde Barranquitas,Guadalajara,Department
puerta de hierro 5065,90000,3,3,253,Puerta de Hierro,Zapopan,Department
SECUNDINA GALLO 707,50000,3,3,437,Providencia,Guadalajara,Department
Calderon de la Barca 26,9000,2,2,63,San Andrés,Guadalajara,Department
"Juan Ruiz de Alarcón 229 102 , Americana , 44160 Guadalajara, Jalisco, México",9000,2,1,56,San Carlos,Guadalajara,Department
Av. Central Guillermo Gónzalez Camarena 500,17000,1,1,70,Americana,Guadalajara,Department
Lerdo de Tejada 2571,19000,1,1,72,Americana,Guadalajara,Department
Avenida México 5000,24000,2,2,75,Valle Real,Zapopan,Department
Calle Mar Ross No 1478 colonia country club   ,16800,1,1,71,Arcos Vallarta,Guadalajara,Department
5446 San Luis gonzaga,27000,3,2,137,Juan Manuel Vallarta,Zapopan,Department
Justo Sierra 2040,30000,1,1,101,Country Club,Guadalajara,Department
PLAN DE SAN LUIS 2058,22000,2,2,103,La Estancia,Zapopan,Department
San Juan de la Cruz,24000,2,2,120,Ladrón de Guevara,Guadalajara,Department
Prolongación Gigantes,23500,2,2,74,Mezquitan Country,Guadalajara,Department
Severo diaz 136,12000,2,2,90,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,Department
,13500,2,1,80,Fraccionamiento Camino Real,Zapopan,Department
,6000,2,2,48,Colinas de Tonalá,Tonalá,Department
,25000,2,2,190,Fraccionamiento Ladrón de Guevara,Guadalajara,Department
CHAPULTEPEC 480,27500,2,2,138,Americana,Guadalajara,Department
Calz. Federalismo Nte,17214,2,2,100,Americana,Guadalajara,Department
Av. paseo la toscana 122,90000,4,4,333,Valle Real,Zapopan,Department
"C. Josefa Ortiz de Domínguez 2512, Santa Ana Tepetitlán, 45230 Zapopan, Jal.",9000,2,1,60,Santa Ana Tepetitlán,Zapopan,Department
"C. La Ley 2947, Juan Manuel, 44680 Guadalajara, Jal., México",190000,2,1,110,Monraz,Guadalajara,Department
São Paulo 1912,26000,1,2,80,Providencia,Guadalajara,Department
Andres Teran 1165,24400,2,2,92,Fraccionamiento Chapultepec Country,Guadalajara,Department
AVENIDA PATRIA 114,14000,2,1,85,Jardines de La Patria,Zapopan,Department
Vía Láctea 4310,11000,1,2,74,Arboledas ,Zapopan,Department
AVENIDA SENDAS 1501,16000,2,2,105,Sendas Residencial,Zapopan,Department
SALVADOR LOPEZ CHAVEZ 1750-3,12000,2,2,84,San Carlos,Guadalajara,Department
Acueducto 6075,28000,2,2,92,Puerta de Hierro,Zapopan,Department
Av. Naciones Unidas 7879,19000,2,2,66,Virreyes Residencial,Zapopan,Department
Av Vallarta 2468,28000,2,2,106,Arcos Vallarta,Guadalajara,Department
Av. Aviacion,16500,2,2,89,Paseos del Sol,Zapopan,Department
Sao Paulo ,24000,2,2,82,San Juan de Ocotan,Zapopan,Department
Calle La cauda 720,29000,2,1,100,Providencia,Guadalajara,Department
Av. Universidad  1000,28500,1,2,77,Providencia,Guadalajara,Department
,29000,2,2,112,Jardines del Bosque Norte,Guadalajara,Department
,65000,2,,116,Condominio Puerta Plata,Zapopan,Department
Mexicaltzingo al 2100,19000,1,1,53,Americana,Guadalajara,Department
Av. Cristobal Colon 4853,18400,1,1,104,Santa Fe,Zapopan,Department
Avenida Patria 1891,13500,2,2,64,Nueva España,Guadalajara,Department
Juan Ruiz de Alarcón 229,31000,2,2,115,Puerta de Hierro,Zapopan,Department
Depa en Renta Providencia en Jose Maria Vigil,23000,1,1,74,Americana,Guadalajara,Department
JUAN PALOMAR Y ARIAS 765,26500,2,2,148,Fraccionamiento Lomas de Providencia,Guadalajara,Department
Acueducto 360,29500,2,2,142,Prados de Providencia,Guadalajara,Department
AVE CENTRAL GUILLERMO GONZALEZ CAMARENA 500,47000,3,3,310,Puerta de Hierro,Zapopan,Department
Avenida Americas 872,48000,2,2,230,Valle Real,Zapopan,Department
Paseo Lomas Altas,22500,2,2,84,Ayuntamiento,Guadalajara,Department
Av. Ignacio L Vallarta  5145,26000,2,2,145,Lomas Altas,Zapopan,Department
acueducto 360,30000,2,3,128,Monraz,Guadalajara,Department
Libra 481 Lomas Altas ,30000,1,1,113,Puerta de Hierro,Zapopan,Department
MANUEL M DIEGUEZ 900,29000,2,2,117,Lomas Altas,Zapopan,Department
Av. Naciones Unidas 5546,20000,2,2,90,Ladrón de Guevara,Guadalajara,Department
Avenida Juan Palomar y Arias 765,23000,2,2,74,Vallarta Universidad,Zapopan,Department
av ruben dario y jose ma vigil ,12000,2,1,53,Francisco Sarabia,Zapopan,Department
San Juan de Letrán 4353,29500,2,2,140,Prados de Providencia,Guadalajara,Department
,39000,3,3,235,Providencia,Guadalajara,Department
,21000,2,2,85,Lomas Del Seminario,Zapopan,Department
Mar Ross,20000,3,2,140,Monraz,Guadalajara,Department
Lateral anillo periférico 800,16700,2,1,68,Fraccionamiento Arcos,Guadalajara,Department
Reforma 2726,29500,1,1,101,Country Club,Guadalajara,Department
Juan Ruiz de Alarcon ,22000,2,2,85,Valle Real,Zapopan,Department
aurora boreal ,24000,1,2,75,Providencia,Guadalajara,Department
av empresarios 62,19000,3,2,60,Americana,Guadalajara,Department
av. vallarta ,11500,2,3,80,Oblatos,Guadalajara,Department
anillo Periferico pte 1066,45000,3,2,115,Puerta de Hierro,Zapopan,Department
Blvd. del Rodeo #1001,39000,2,1,190,Fraccionamiento Camino Real,Zapopan,Department
Av. Rafael Sanzio 632,27900,1,2,93,Puerta de Hierro,Zapopan,Department
TOREROS 613,13000,2,2,54,El Vigía,Zapopan,Department
Av. Central Guillermo Gonzalez Camarena #500,24900,3,2,103,Arcos de Guadalupe,Zapopan,Department
Naciones Unidas 7879,26500,3,2,108,Fraccionamiento Rinconada Del Parque,Zapopan,Department
BOULEVARD DEL RODEO 222,18000,2,2,120,Fraccionamiento Jardines de Guadalupe,Zapopan,Department
Calle Ontario 1728,25000,2,1,77,Valle Real,Zapopan,Department
"Calle Colomos 2770, Providencia 4a Secc. ",18000,2,4,66,Parque Virreyes Residencial,Zapopan,Department
,6500,4,3,60,El Vigía,Zapopan,Department
,33000,3,2,180,Providencia 4a Secc,Guadalajara,Department
,25000,2,,230,Providencia 4a Secc,Guadalajara,Department
,16000,,,73,El Campanario,Zapopan,Department
Pablo Casals 487,14500,2,2,85,Providencia,Guadalajara,Department
Diagonal Manuel Cambre 2235,26000,2,2,170,Fraccionamiento Lomas Del Country,Guadalajara,Department
Av Montevideo 3497,42500,3,3,192,Colinas de San Javier,Zapopan,Department
C. Anastasio Bustamante 1400,13000,2,3,56,Francisco Sarabia,Zapopan,Department
av ruben dario y jose ma vigil ,39000,3,2,235,Providencia,Guadalajara,Department
AV. GUADALAJARA S/N,12700,2,2,64,Jardines del Valle,Zapopan,Department
AV INGLATERRA 5100,21100,2,1,116,Jardines de La Patria,Zapopan,Department
Avenida Naciones Unidas #4839 - 2,19000,1,1,60,Jardines Universidad,Zapopan,Department
Goya 593 6,12000,2,4,53,Francisco Sarabia,Zapopan,Department
Av. Central Guillermo Gonzalez Camarena #500,24000,3,2,164,Prados de Providencia,Guadalajara,Department
"AV, GAIA 60 ",22500,2,1,69,Valle Real,Zapopan,Department
Av Empresarios 236,7900,2,2,67,Fraccionamiento Cortijo de San Agustin,Tlajomulco de Zúñiga,Department
"C. La Ley 2947, Juan Manuel, 44680 Guadalajara, Jal., México",39500,3,4,135,Jardines Universidad,Zapopan,Department
Calzada Central 509,50000,3,2,250,Puerta de Hierro,Zapopan,Department
Paseo Lomas Altas,28000,2,1,130,Agraria,Zapopan,Department
"Alberta 1950, Colomos providencia",190000,2,2,110,Monraz,Guadalajara,Department
"Vallarta 2769, Arcos Vallarta, 44130, Guadalajara, México",22000,2,2,90,Ciudad Granja,Zapopan,Department
,26000,2,2,145,Lomas Altas,Zapopan,Department
,24000,2,2,86,Fraccionamiento Colomos Providencia,Guadalajara,Department
,25000,2,,98,Arcos Vallarta,Guadalajara,Department
Paseo Lomas Altas 4777 903 Torre A,26500,2,2,90,Lomas Altas,Zapopan,Department
Formosa 1900,14000,1,1,95,Fraccionamiento Chapultepec Country,Guadalajara,Department
Hipodromo 2077 B-102,40000,3,3,177,Fraccionamiento Colomos Providencia,Guadalajara,Department
C. Juan Ruiz de Alarcón 519,20000,2,2,56,Moderna,Guadalajara,Department
Calle asusncion 1985 colomos providencia,30000,2,2,140,Colomos Patria,Zapopan,Department
Av. Hidalgo 1995,22000,1,1,74,Arcos Vallarta,Guadalajara,Department
Avenida Niños Héroes ,15000,2,1,57,Moderna,Guadalajara,Department
SEBASTIAN BACH 5522 COLONIA LA ESTANCIA ,12000,2,1,74,La Estancia,Zapopan,Department
Eutimio Pinzón al 900,13990,2,2,74,Lomas Independencia,Guadalajara,Department
Avenida Patria 1891,31000,2,2,115,Puerta de Hierro,Zapopan,Department
Hector Berliotz 5026,7000,1,1,35,La Estancia,Zapopan,Department
Av. Acueducto 5500,65000,3,4,362,Lomas Del Bosque,Zapopan,Department
Av. Las Américas ,17200,1,1,40,Ayuntamiento,Guadalajara,Department
PUENTE EL PALOMAR TORRE BALANTY  400,14000,2,2,82,El Campanario,Zapopan,Department
Colomos Providencia,34000,2,2,120,Valle Real,Zapopan,Department
"Manuel M. Dieguez No. 95, colonia Americana",16700,2,1,68,Fraccionamiento Arcos,Guadalajara,Department
GONZAGA #4386,32000,2,2,113,Fraccionamiento Colomos Providencia,Guadalajara,Department
Av. Paseo la toscana  torre emile ,16000,2,2,101,Americana,Guadalajara,Department
,14500,3,2,75,Ciudad de los niños,Zapopan,Department
,39000,2,2,130,Valle Real,Zapopan,Department
ALVARO OBREGON 1570,12000,2,1,60,Penal,Guadalajara,Department
acueducto 360,33000,3,2,143,Providencia,Guadalajara,Department
Cubilete 1816,30000,1,1,113,Puerta de Hierro,Zapopan,Department
efrain gonzalez luna 2579,15000,1,2,70,Jardines de Guadalupe,Guadalajara,Department
"Juan Palomar y Arias 765, Prados Providencia, Prados de Providencia, Guadalajara",28000,3,4,180,Chapalita Sur,Zapopan,Department
"C. Juan Ruiz de Alarcón 221, Col Americana, Obrera, 44140 Guadalajara, Jal.",33000,3,4,230,Agustín YAnez,Guadalajara,Department
acueducto 2380,44000,3,3,390,Fraccionamiento Vallarta Norte,Guadalajara,Department
Av. Adolfo López Mateos Sur 4255,40000,3,2,169,Providencia,Guadalajara,Department
Nápoles 2837 ,35000,2,2,165,Americana,Guadalajara,Department
Avenida Juan Palomar y Arias 765,38000,2,2,110,Jardines Universidad,Zapopan,Department
Diagonal Manuel Cambre 2235,27000,2,2,113,Puerta de Hierro,Zapopan,Department
rinconada del arroyo 1501 1 1,26000,2,3,124,Loma Bonita,Zapopan,Department
Anillo Periferico norte 1066,26000,3,2,170,Providencia,Guadalajara,Department
Livet ottwa ,29500,2,2,140,Prados de Providencia,Guadalajara,Department
Acueducto 6075,26000,2,2,170,Ayuntamiento,Guadalajara,Department
,23000,3,2,114,Prados de Providencia,Guadalajara,Department
,15500,2,2,90,Fraccionamiento Valle Imperial,Zapopan,Department
,27000,2,2,100,Fraccionamiento Puerta del Valle,Zapopan,Department
,38000,2,2,177,Providencia,Guadalajara,Department
,28000,2,,92,Puerta de Hierro,Zapopan,Department
av chapultepec norte 78,30000,3,2,250,Fraccionamiento Ladrón de Guevara,Guadalajara,Department
Calle Juan Ruiz de Alarcón 229,29000,2,2,100,Providencia,Guadalajara,Department
Cosmocrat Puerta de Hierro,19000,1,1,70,Americana,Guadalajara,Department
Altamira Departamento,45000,3,2,129,Puerta de Hierro,Zapopan,Department
AV. HIDALGO 1990 ,25000,2,1,125,Altamira,Zapopan,Department
Torre Livorno,16000,1,1,73,Fraccionamiento Ladrón de Guevara,Guadalajara,Department
arquitectos  855,19999,2,1,100,Providencia,Guadalajara,Department
Puesta del sol 4150,33080,2,2,135,Lomas Altas,Zapopan,Department
aviacion 4139,8550,1,1,40,Fraccionamiento Chapalita de Occidente,Zapopan,Department
Stelar Boreal,12000,2,2,80,Providencia,Guadalajara,Department
Av Acueducto 6075,24900,2,2,101,Lomas Altas,Zapopan,Department
AV. MANUEL ACUÑA 3177 COL. MONRAZ,31000,3,2,100,Americana,Guadalajara,Department
"Calle Colomos 2770, Providencia 4a Secc. ",36000,3,4,270,Ciudad Bugambilia,Zapopan,Department
