Location,Price,No. of rooms,No. of bathrooms,Area,Adress,Colony,Type
La Ley,38000,3,2,400,Rancho Contento,Zapopan,House
PUERTA DE HIERRO 5200,45000,4,4,350,Providencia,Guadalajara,House
"Enrique Rodó 2801, Col. providencia, Guadalajara, Jalisco.",90000,3,3,430,Puerta de Hierro,Zapopan,House
Calle Alameda,43000,6,5,300,Fraccionamiento Providencia ,Guadalajara,House
Paseo del amanecer  405,38000,4,4,230,Fraccionamiento Jardín Real,Zapopan,House
Valle Real,20000,7,4,172,Barrio El Retiro,Guadalajara,House
PASEO SAN ARTURO 1020,32000,4,4,143,Santillana,Zapopan,House
Av. Cruz del sur,45000,4,2,310,Chapalita Oriente,Zapopan,House
,55000,3,5,328,Valle Real,Zapopan,House
,30000,3,3,155,Fraccionamiento Solares,Zapopan,House
,120000,3,4,551,Valle Real,Zapopan,House
,13000,4,2,120,Real del Sol,Tlajomulco de Zúñiga,House
,60000,4,3,1410,El Palomar,Tlajomulco de Zúñiga,House
,28000,3,4,205,Fraccionamiento Solares,Zapopan,House
,65000,3,4,296,Villa Universitaria,Zapopan,House
,16300,3,2,148,Jardines Del Sur,Guadalajara,House
PUERTA DE HIERRO CNDOMINIO GALICIA ,125000,5,5,1019,Puerta de Hierro,Zapopan,House
Solares,25000,8,3,174,Guadalajara Centro,Guadalajara,House
PUERTO CALLAO 2457,27000,3,4,200,Fraccionamiento Solares,Zapopan,House
CALLE ANTONIO BRAVO 416,24000,2,4,350,Colinas de Santa Anita,Tlajomulco de Zúñiga,House
UXMAL 493,79000,5,5,615,Chapalita Oriente,Zapopan,House
circuito valle de san isidro 440,50000,8,7,360,Providencia,Guadalajara,House
vereda del ganso Puerta de hierro,20000,5,2,280,Barragán y HernAndez,Guadalajara,House
CALLEJON DEL LOBO ,3800,10,10,300,Monumental,Guadalajara,House
Av Nueva Galicia 1507 Condominio Valencia  casa 243,15000,3,2,97,Villas de Zapopan,Zapopan,House
Av Zoquipan ,80000,3,3,744,Puerta de Hierro,Zapopan,House
Colomos Providencia,61000,4,7,1350,Fraccionamiento Bugambilias,Zapopan,House
 Blvrd Asturias 300,26000,3,3,232,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,House
lomas de santa anita,21000,4,4,319,Casa Fuerte,Tlajomulco de Zúñiga,House
Santa Adriana 2337,24500,4,3,200,Zoquipan,Zapopan,House
,130000,3,4,423,Fraccionamiento Colomos Providencia,Guadalajara,House
,29000,4,4,162,Fraccionamiento Solares,Zapopan,House
,70000,8,8,339,Ciudad Del Sol,Zapopan,House
,10000,7,3,35,Arcos de Guadalupe,Zapopan,House
,30000,3,2,564,Lomas de Santa Anita,Tlajomulco de Zúñiga,House
,11500,2,,75,Hogares de Nuevo México,Zapopan,House
Av punto Sur 312,9800,3,3,80,Fraccionamiento Real Del Bosque,Zapopan,House
"P.º Loma Chica 3410, Colinas de San Javier, 44660 Guadalajara, Jal.",28500,3,3,133,Punto Sur,Tlajomulco de Zúñiga,House
"Coto Livorno, Av. Paseo del Bosque 3428, Natura Bosque, Residencial ",30000,3,4,253,Los Gavilanes Poniente,Tlajomulco de Zúñiga,House
Buenos Aires  2066,95000,3,4,650,Colinas de San Javier,Zapopan,House
TURQUESA 3358 4A,14000,3,3,83,Natura Bosque Residencial,Zapopan,House
Cam. Arenero  1052,57000,3,2,510,Puerta de Hierro,Zapopan,House
CALLE VIGIA DOS #102,16000,3,4,160,Casa Fuerte,Tlajomulco de Zúñiga,House
Prolongación Mariano Otero No.4,49900,4,5,282,Providencia,Guadalajara,House
Paloma 238 Jardin real,80000,4,2,538,Valle Real,Zapopan,House
av terranostra 300,25000,3,3,150,Fraccionamiento Residencial Victoria,Guadalajara,House
av d 575,46000,3,3,230,El Bajío,Zapopan,House
AV. LA CIMA 295,7000,4,3,80,Fraccionamiento Parques de Tesistán,Zapopan,House
ENRIQUE LIMON 404,23000,4,5,185,El Palomar,Tlajomulco de Zúñiga,House
,58000,4,2,370,Fraccionamiento Jardín Real,Zapopan,House
,14000,3,2,120,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
,17800,3,4,166,Fraccionamiento Valle Imperial,Zapopan,House
,22000,3,3,140,Fraccionamiento La Cima,Zapopan,House
,33000,3,3,500,Ciudad Bugambilia,Zapopan,House
,150000,4,2,850,Fraccionamiento Colomos Providencia,Guadalajara,House
,16000,3,,105,San Agustín,Tlajomulco de Zúñiga,House
"EL ZAPOTE 1910, EL TIGRE, ZAPOPAN ",21000,3,2,191,Chapalita,Guadalajara,House
Diego Aranda y Carpintero 1507,45000,6,6,160,Fraccionamiento Solares,Zapopan,House
Provincia de Alicante 12,13500,3,2,95,El Tigre,Zapopan,House
"Félix mendelssohn 5508  , La Estancia , 45030 Zapopan, Jalisco, México",21000,4,3,300,Fraccionamiento Jardines Del Country,Guadalajara,House
Fray Juan de Zumárraga 758,18800,3,3,99,Guadalupe 2a Sección,Zapopan,House
"Av. Paseo de la Cantera 200, Capital Norte, 45134 Zapopan, Jal.",25000,2,4,200,La Estancia,Zapopan,House
LOPEZ MATEOS 194,29900,4,3,202,Chapalita,Guadalajara,House
Valle Imperial,17800,3,2,165,Fraccionamiento Valle Imperial,Zapopan,House
Enrique Limón Diaz 404 208,18500,4,3,115,Fraccionamiento Valle Imperial,Zapopan,House
liertad 104 ,26000,4,4,1,Villa de los Belenes,Zapopan,House
Paseo L,25000,3,2,130,Fraccionamiento Valle Imperial,Zapopan,House
Av. Quintas del Bosque 220,19900,5,5,119,San Agustín,Tlajomulco de Zúñiga,House
Calzada de las flores 1364,15000,3,1,143,El Colli Urbano,Zapopan,House
Tenochtitlán 4504,11000,1,1,80,El Vigía,Zapopan,House
Provenza norte 167,131000,4,4,1000,Lomas del Valle,Zapopan,House
,16500,3,2,105,Bosques de San Isidro,Zapopan,House
,18200,4,3,125,Fraccionamiento Real de Valdepeñas,Zapopan,House
,24000,3,5,164,Jardines Del Sol,Zapopan,House
,17000,3,2,107,Fraccionamiento Jardines de Guadalupe,Zapopan,House
,40000,4,4,507,Residencial Provenza,Tlajomulco de Zúñiga,House
Laureles 181,69000,5,2,600,Valle Real,Zapopan,House
Fray Junípero Serra,10500,3,1,160,Fraccionamiento Cortijo de San Agustin,Tlajomulco de Zúñiga,House
Blvrd. Bosques de Santa Anita,12200,3,3,97,Zapopan Centro,Zapopan,House
Paseo de los valles,8500,3,3,99,Fraccionamiento Parques de Tesistán,Zapopan,House
Av Reno Poniente 3725,12000,3,5,105,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
CALLEJON DEL ARCO 4315,70000,4,4,412,Valle Real,Zapopan,House
Av. Punto Sur,38000,4,4,300,Ciudad Bugambilia,Zapopan,House
Condominio Azahares,45200,3,4,300,Villa Universitaria,Zapopan,House
Avenida Casa Fuerte,28500,3,4,140,Punto Sur,Tlajomulco de Zúñiga,House
prolongacion guardia naciona 2385,28000,5,2,369,Fraccionamiento Bugambilias,Zapopan,House
AV VOLCAN TANCITARO 2236,18000,4,2,160,Casa Fuerte,Tlajomulco de Zúñiga,House
Paseo del Anochecer  964 47,11000,3,1,96,San Agustín,Tlajomulco de Zúñiga,House
Ruyard Kiplin 4949,13000,2,2,65,Fraccionamiento Residencial Moctezuma,Zapopan,House
,17800,3,7,166,Fraccionamiento Valle Imperial,Zapopan,House
,45000,6,2,798,Ciudad Del Sol,Zapopan,House
,18000,3,3,98,Santa Ana Tepetitlán,Zapopan,House
,18500,3,5,135,Volcán Del Colli,Zapopan,House
,28000,5,2,152,Fraccionamiento Solares,Zapopan,House
,20500,3,3,128,Jardines de La Patria,Zapopan,House
,6500,3,,109,Fraccionamiento Albaterra,Zapopan,House
Blvrd. Bosques de Santa Anita,12000,3,3,105,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
