Location,Price,No. of rooms,No. of bathrooms,Area,Neighborhood,Municipality,Type,Price per sq meter,Bathrooms per room,Price_Category
Avenida Patria 1891,13500,2.0,2.0,64.0,Nueva España,Guadalajara,Department,210.9375,1.0,10k-20k
Calle Cto. Madrigal 1151,17000,2.0,2.0,64.0,Villas Del Country,Guadalajara,Department,265.625,1.0,10k-20k
"Av. Central Guillermo Gonzalez Camarena 500, Valle Real",25000,2.0,2.0,64.0,Americana,Guadalajara,Department,390.625,1.0,20k-30k
Avenida México 5000,17000,2.0,2.0,64.0,Villas Del Country,Guadalajara,Department,265.625,1.0,10k-20k
,13500,2.0,2.0,64.0,Nueva España,Guadalajara,Department,210.9375,1.0,10k-20k
ACUEDUCTO 360,12700,2.0,2.0,64.0,Jardines del Valle,Zapopan,Department,198.4375,1.0,10k-20k
Calle Vidrio 1984,23000,1.0,2.0,64.0,Americana,Guadalajara,Department,359.375,2.0,20k-30k
,13000,2.0,1.0,65.0,Fraccionamiento Residencial Moctezuma,Zapopan,House,200.0,0.5,10k-20k
Prol. Niños Heroes,14000,3.0,2.0,65.0,Fraccionamiento Guadalupe Inn,Zapopan,House,215.3846153846154,0.6666666666666666,10k-20k
Santa Irene 3040,11000,2.0,2.0,65.0,Sutaj,Guadalajara,Department,169.23076923076923,1.0,10k-20k
Morelos 2080,14000,2.0,1.0,65.0,Arboledas ,Zapopan,Department,215.3846153846154,0.5,10k-20k
Paseo del Arcoiris 4082 1,15000,2.0,1.0,65.0,Bosques de La Victoria,Guadalajara,Department,230.76923076923077,0.5,10k-20k
Ruyard Kiplin 4949,13000,2.0,2.0,65.0,Fraccionamiento Residencial Moctezuma,Zapopan,House,200.0,1.0,10k-20k
Valparaiso 2367,23000,1.0,1.0,65.0,Providencia,Guadalajara,Department,353.84615384615387,1.0,20k-30k
Calderon de la Barca 26,17000,1.0,1.0,65.0,Arcos Vallarta,Guadalajara,Department,261.53846153846155,1.0,10k-20k
Av. Ávila Camacho 2959,15500,2.0,1.0,65.0,Hacienda Del Tepeyac,Zapopan,House,238.46153846153845,0.5,10k-20k
av montevideo 3078,15000,2.0,2.0,65.0,Bosques de La Victoria,Guadalajara,Department,230.76923076923077,1.0,10k-20k
C. Fedor Dostoiewski 4725A,14000,3.0,2.0,65.0,Fraccionamiento Guadalupe Inn,Zapopan,House,215.3846153846154,0.6666666666666666,10k-20k
calle la cauda 720,15000,1.0,2.0,66.0,Vallarta Universidad,Zapopan,Department,227.27272727272728,2.0,10k-20k
Av Naciones Unidas 7879,18000,2.0,2.0,66.0,Virreyes Residencial,Zapopan,Department,272.72727272727275,1.0,10k-20k
,14500,1.0,1.0,66.0,El Bajío,Zapopan,Department,219.6969696969697,1.0,10k-20k
Av Naciones Unidas 7879,18000,2.0,1.0,66.0,Virreyes Residencial,Zapopan,Department,272.72727272727275,0.5,10k-20k
,10000,2.0,2.0,66.0,Nuevo México,Zapopan,House,151.5151515151515,1.0,0-10k
Naciones Unidas 7879,18000,2.0,3.0,66.0,Parque Virreyes Residencial,Zapopan,Department,272.72727272727275,1.5,10k-20k
Calz. Federalismo Nte,19000,2.0,4.0,66.0,Virreyes Residencial,Zapopan,Department,287.8787878787879,2.0,10k-20k
"Calle Colomos 2770, Providencia 4a Secc. ",18000,2.0,4.0,66.0,Parque Virreyes Residencial,Zapopan,Department,272.72727272727275,2.0,10k-20k
av naciones unidas 7879,18500,2.0,2.0,66.0,San Juan de Ocotan,Zapopan,Department,280.3030303030303,1.0,10k-20k
"Juan Bernardino, Chapalita 229",18000,1.0,1.0,66.0,Fraccionamiento Chapalita de Occidente,Zapopan,Department,272.72727272727275,1.0,10k-20k
Av. Naciones Unidas 7879,19000,2.0,2.0,66.0,Virreyes Residencial,Zapopan,Department,287.8787878787879,1.0,10k-20k
"Gabriela Mistral 1092, Alcalde Barranquitas, 44270 Guadalajara, Jal.",19000,2.0,2.0,66.0,Virreyes Residencial,Zapopan,Department,287.8787878787879,1.0,10k-20k
Calzada Lázaro Cárdenas 3333,21000,1.0,1.0,67.0,Arcos Vallarta,Guadalajara,Department,313.43283582089555,1.0,20k-30k
Av Empresarios 236,7900,2.0,2.0,67.0,Fraccionamiento Cortijo de San Agustin,Tlajomulco de Zúñiga,Department,117.91044776119404,1.0,0-10k
Av. Aviación 3100,21000,2.0,2.0,67.0,Bosque Valdepeñas,Zapopan,Department,313.43283582089555,1.0,20k-30k
"AV, GAIA 60 ",7900,2.0,2.0,67.0,Fraccionamiento Cortijo de San Agustin,Tlajomulco de Zúñiga,Department,117.91044776119404,1.0,0-10k
C. Juan Ruiz de Alarcón 519,21000,2.0,2.0,67.0,Guadalajara Centro,Guadalajara,Department,313.43283582089555,1.0,20k-30k
"AV, XOCHITL 310 6",17500,2.0,2.0,68.0,Ciudad Granja,Zapopan,Department,257.3529411764706,1.0,10k-20k
"Manuel M. Dieguez No. 95, colonia Americana",16700,2.0,1.0,68.0,Fraccionamiento Arcos,Guadalajara,Department,245.58823529411765,0.5,10k-20k
Lateral anillo periférico 800,16700,2.0,1.0,68.0,Fraccionamiento Arcos,Guadalajara,Department,245.58823529411765,0.5,10k-20k
,16700,2.0,1.0,68.0,Fraccionamiento Arcos,Guadalajara,Department,245.58823529411765,0.5,10k-20k
plan de san luis 2058,20000,2.0,2.0,69.0,Fraccionamiento Country Club,Guadalajara,Department,289.8550724637681,1.0,10k-20k
Torre Esenika 1 1,18600,2.0,2.0,69.0,Punto Sur,Tlajomulco de Zúñiga,Department,269.5652173913044,1.0,10k-20k
,8000,2.0,1.0,69.0,Jardines de San José,Guadalajara,House,115.94202898550725,0.5,0-10k
Av. Aviación 4055-int 58,20000,3.0,2.0,69.0,Jardines del Valle,Zapopan,House,289.8550724637681,0.6666666666666666,10k-20k
san agustin 1289 interior 4,11000,2.0,2.0,69.0,Lomas Independencia,Guadalajara,Department,159.42028985507247,1.0,10k-20k
enrique limón diaz,8000,2.0,1.0,69.0,Jardines de San José,Guadalajara,House,115.94202898550725,0.5,0-10k
"AV, GAIA 60 ",22500,2.0,1.0,69.0,Valle Real,Zapopan,Department,326.0869565217391,0.5,20k-30k
Av. Central Guillermo Gonzalez Camarena #500,22500,2.0,2.0,69.0,Valle Real,Zapopan,Department,326.0869565217391,1.0,20k-30k
Remanso de las Violetas 2173,18500,3.0,4.0,69.0,Nuevo México,Zapopan,House,268.1159420289855,1.3333333333333333,10k-20k
"Cto, De los Himalaya 1351, Las Cumbres",12900,2.0,2.0,69.0,Fraccionamiento Real de Valdepeñas,Zapopan,Department,186.95652173913044,1.0,10k-20k
CALZADA 1900,20000,3.0,2.0,69.0,Jardines del Valle,Zapopan,House,289.8550724637681,0.6666666666666666,10k-20k
"Calle Cto. Madrigal 1151, Colinas de San Javier",19500,2.0,2.0,70.0,Ladrón de Guevara,Guadalajara,Department,278.57142857142856,1.0,10k-20k
"1360, Circunvalación Americas, 44630",21500,2.0,2.0,70.0,Americana,Guadalajara,Department,307.14285714285717,1.0,20k-30k
,21000,3.0,2.0,70.0,Americana,Guadalajara,Department,300.0,0.6666666666666666,20k-30k
Niños Héroes #2050,16500,1.0,2.0,70.0,Jardines Universidad,Zapopan,Department,235.71428571428572,2.0,10k-20k
Alcalde 960,24000,1.0,1.0,70.0,Americana,Guadalajara,Department,342.85714285714283,1.0,20k-30k
"Av Paseo de la Arboleda 731 Jardines del Bosque,",9000,2.0,2.0,70.0,Fraccionamiento Lomas Universidad,Zapopan,Department,128.57142857142858,1.0,0-10k
morelos 1777,20000,1.0,1.0,70.0,Americana,Guadalajara,Department,285.7142857142857,1.0,10k-20k
"V. Arandas, Jardín Real, 45136 Zapopan, Jal.",9400,3.0,3.0,70.0,Parque Real,Zapopan,House,134.28571428571428,1.0,0-10k
cto de los Himalayas 1351,15000,1.0,2.0,70.0,Jardines de Guadalupe,Guadalajara,Department,214.28571428571428,2.0,10k-20k
Calle Juan Ruiz de Alarcón 229,19000,1.0,1.0,70.0,Americana,Guadalajara,Department,271.42857142857144,1.0,10k-20k
,14200,2.0,2.0,70.0,Fraccionamiento Real de Valdepeñas,Zapopan,Department,202.85714285714286,1.0,10k-20k
Cosmocrat Puerta de Hierro,19000,1.0,1.0,70.0,Americana,Guadalajara,Department,271.42857142857144,1.0,10k-20k
DR. ANGEL LEAÑO 1305,7500,3.0,1.0,70.0,Vista Sur Residencial,Tlajomulco de Zúñiga,House,107.14285714285714,0.3333333333333333,0-10k
,22000,2.0,1.0,70.0,Valle Real,Zapopan,Department,314.2857142857143,0.5,20k-30k
Josefa Ortiz de Dominguez 180,17000,1.0,1.0,70.0,Americana,Guadalajara,Department,242.85714285714286,1.0,10k-20k
efrain gonzalez luna 2579,15000,1.0,2.0,70.0,Jardines de Guadalupe,Guadalajara,Department,214.28571428571428,2.0,10k-20k
